greater_than, category, ks, alpha
1, 1, 0.010265810173335277, 1.7932315323719197
1, 2, 0.01831350028614842, 1.3493594404974287
1, 3, 0.018625484323046892, 1.4252673979144217
1, 4, 0.008745811313205398, 1.8620481404061289
1, 5, 0.006675493765861185, 1.9079677292628987
1, 6, 0.02242735270594498, 1.3291181287896625
1, 7, 0.008383471552206978, 1.8679331836966993
1, 8, 0.032828337228966276, 0.6408964365960595
1, 9, 0.026575449767535897, 0.9622344971455455
1, 10, 0.015934144303849096, 1.5737955364860454
0, 1, 0.5, 3.5877330759963146e-16
0, 2, 0.5, 3.5877330759963146e-16
0, 3, 1.0, 3.5877330759963146e-16
0, 4, 0.5, 3.5877330759963146e-16
0, 5, 0.5, 3.5877330759963146e-16
0, 6, 0.5, 3.5877330759963146e-16
0, 7, 0.2692307692307692, 3.5877330759963146e-16
0, 8, 0.6666666666666666, 3.5877330759963146e-16
0, 9, 0.5, 3.5877330759963146e-16
0, 10, 0.3, 3.5877330759963146e-16
