greater_than, category, ks, alpha
1, 1, 0.009116400121868762, 1.8407316221291914
1, 2, 0.008155861257611918, 1.8585284834492228
1, 3, 0.006182477451972868, 1.9231574396687352
1, 4, 0.0032798075713355024, 1.9791447684082462
1, 5, 0.00736842105263158, 1.8989417646726618
1, 6, 0.015446894641525488, 1.6131288073641616
1, 7, 0.005244309623871679, 1.9471222212342698
1, 8, 0.016557623494039664, 1.4932299192715044
1, 9, 0.006619845629650234, 1.913982963586704
1, 10, 0.01632653061224487, 1.5333573674034287
0, 1, 0.3333333333333333, 3.5877330759963146e-16
0, 2, 1.0, 3.5877330759963146e-16
0, 3, 0.4848484848484848, 3.5877330759963146e-16
0, 4, 1.0, 3.5877330759963146e-16
0, 5, 1.0, 3.5877330759963146e-16
0, 6, 0.5714285714285714, 3.5877330759963146e-16
0, 7, 1.0, 3.5877330759963146e-16
0, 8, 1.0, 3.5877330759963146e-16
0, 9, 1.0, 3.5877330759963146e-16
0, 10, 1.0, 3.5877330759963146e-16
